time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2020-01-30 09:30:00-05:00,MLTrader,6dd83cc614494930a1ca190782c15086,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-30 09:30:00-05:00,MLTrader,6dd83cc614494930a1ca190782c15086,AAPL,buy,market,fill,1,gtc,0.0,1,stock,80.13500213623047,624.0,0.0
2020-02-03 08:30:00-05:00,MLTrader,adb2cfd6a29b4c4ba287b14ca9fb8dd1,AAPL,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-02-03 08:30:00-05:00,MLTrader,ab079b7401e74e118a22224dd2ed7c17,AAPL,sell,stop,fill,1,day,0.0,1,stock,76.07499694824219,624.0,0.0
2020-02-03 09:30:00-05:00,MLTrader,b5311a1e1aa549759031fe362b448e58,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-02-03 09:30:00-05:00,MLTrader,b5311a1e1aa549759031fe362b448e58,SPY,sell,market,fill,1,gtc,0.0,1,stock,323.3500061035156,151.0,0.0
2020-02-05 09:30:00-05:00,MLTrader,c772c03e98f044a6af51050daeb2fee2,GOOGL,buy,market,new,1,gtc,0.0,1,stock,,,
2020-02-05 09:30:00-05:00,MLTrader,c772c03e98f044a6af51050daeb2fee2,GOOGL,buy,market,fill,1,gtc,0.0,1,stock,73.18049621582031,1000.0,0.0
2020-02-10 09:30:00-05:00,MLTrader,8aefe5f7c7314324b343889c1a10dc47,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-02-10 09:30:00-05:00,MLTrader,8aefe5f7c7314324b343889c1a10dc47,SPY,sell,market,fill,1,gtc,0.0,1,stock,331.2300109863281,110.0,0.0
2020-02-13 09:30:00-05:00,MLTrader,ee6587091e104f9380103868c1dfb20e,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
